TF-Pair	Correlation	P-Value		
BHLHE40:USF1	-0.039305715	0.433065263	A	0.039305715
BATF:USF2	0.039307158	0.433048351	A	0.039307158
ELF1:TCF3	0.039321265	0.432883148	A	0.039321265
IKZF1:NFYB	-0.039494602	0.430856141	A	0.039494602
TCF12:ZNF143	-0.040120224	0.423585901	A	0.040120224
EGR1:NFYB	0.040142851	0.423324299	A	0.040142851
RELA:SIN3A	-0.040246167	0.42213104	A	0.040246167
BHLHE40:USF2	-0.041123306	0.412079736	A	0.041123306
PAX5:SPI1	-0.041148478	0.411793393	A	0.041148478
MAX:REST	0.041366084	0.409322889	A	0.041366084
EGR1:REST	-0.041455635	0.408308761	A	0.041455635
ELF1:SIN3A	0.04217024	0.400269742	A	0.04217024
REST:PAX5	-0.042416663	0.397519704	A	0.042416663
MAX:PAX5	0.042426679	0.397408168	A	0.042426679
MXI1:SPI1	-0.042689034	0.394493338	A	0.042689034
SIN3A:NFYB	-0.042854303	0.392663785	A	0.042854303
MXI1:TCF3	-0.043012771	0.390914345	A	0.043012771
IKZF1:REST	-0.043121347	0.389718423	A	0.043121347
BATF:NFIC	-0.043516297	0.385386947	A	0.043516297
NFIC:ZNF143	0.043886481	0.381353802	A	0.043886481
MAX:EGR1	-0.04391929	0.380997591	A	0.04391929
BATF:BHLHE40	-0.04459199	0.373739087	A	0.04459199
BATF:SIN3A	-0.044670277	0.372899939	A	0.044670277
BCL3:RUNX3	0.045256904	0.366649	A	0.045256904
ELF1:NFATC1	-0.045530181	0.363759381	A	0.045530181
BATF:RELA	0.0455867	0.363163534	A	0.0455867
MXI1:EGR1	-0.045854673	0.360346715	A	0.045854673
MXI1:SIN3A	-0.045894807	0.35992602	A	0.045894807
USF2:ZNF143	-0.04604574	0.358346662	A	0.04604574
IKZF1:BCL3	-0.046323034	0.355456409	A	0.046323034
TCF12:USF1	0.046613975	0.352439704	A	0.046613975
SIN3A:PAX5	0.047420568	0.34416105	A	0.047420568
NFIC:ZEB1	0.047821977	0.340087555	A	0.047821977
ELF1:SPI1	-0.047823667	0.340070472	A	0.047823667
EGR1:RELA	-0.048405912	0.334217005	A	0.048405912
MAX:YY1	0.0488026	0.330266285	A	0.0488026
IKZF1:ZEB1	-0.048955652	0.328750082	A	0.048955652
NFIC:TCF3	-0.04911323	0.327193756	A	0.04911323
IKZF1:TCF12	-0.049429157	0.324087852	A	0.049429157
TCF12:SPI1	0.049633391	0.322090226	A	0.049633391
ELF1:USF2	-0.049733892	0.321110173	A	0.049733892
EBF1:NFATC1	-0.050028105	0.318252248	A	0.050028105
MAX:ZEB1	0.050333277	0.315305465	A	0.050333277
PAX5:ZEB1	0.051296312	0.306123736	A	0.051296312
RUNX3:YY1	-0.051642886	0.302863082	A	0.051642886
IKZF1:USF1	-0.05248729	0.295015384	A	0.05248729
IKZF1:SIN3A	0.052673492	0.293303287	A	0.052673492
MXI1:ZNF143	0.053324848	0.287366541	A	0.053324848
NFYB:YY1	-0.053327924	0.287338704	A	0.053327924
SIN3A:USF1	-0.053328684	0.28733182	A	0.053328684
RELA:USF1	0.053368288	0.286973506	A	0.053368288
BHLHE40:SIN3A	-0.053507927	0.285712531	A	0.053507927
BCL3:EGR1	-0.054019754	0.281122527	A	0.054019754
ELF1:USF1	-0.05408595	0.280532546	A	0.05408595
EGR1:SIN3A	0.054429485	0.277484239	A	0.054429485
MAX:USF1	-0.054579429	0.276160801	A	0.054579429
BCL3:REST	-0.055014154	0.272348092	A	0.055014154
MEF2A:ELF1	-0.055172348	0.270969619	A	0.055172348
MEF2A:ZNF143	-0.055239998	0.270381591	A	0.055239998
RELA:SPI1	-0.055250988	0.270286146	A	0.055250988
NFIC:USF2	0.055469281	0.268395081	A	0.055469281
EGR1:TCF12	-0.056174013	0.262351911	A	0.056174013
SIN3A:ZNF143	0.058163345	0.24580086	A	0.058163345
RELA:PAX5	0.058922696	0.239679709	A	0.058922696
REST:RELA	-0.059533639	0.234833203	A	0.059533639
MXI1:YY1	-0.059780913	0.232891416	A	0.059780913
USF2:TCF3	-0.060139772	0.230093591	A	0.060139772
BATF:ZEB1	0.060587426	0.226636974	A	0.060587426
REST:TCF3	0.0610858	0.222832306	A	0.0610858
BHLHE40:PAX5	-0.06143569	0.220188549	A	0.06143569
ELF1:BHLHE40	0.062529668	0.212067284	A	0.062529668
BCL3:ELF1	-0.062926212	0.209177406	A	0.062926212
MEF2A:USF2	0.062966955	0.208882102	A	0.062966955
BCL3:NFIC	-0.063203926	0.207170517	A	0.063203926
BCL3:USF1	-0.063442826	0.205455278	A	0.063442826
IKZF1:YY1	-0.063835226	0.202660309	A	0.063835226
IKZF1:MAX	-0.063837131	0.202646808	A	0.063837131
SIN3A:NFIC	-0.064501784	0.197976016	A	0.064501784
IKZF1:RUNX3	-0.065180247	0.193289596	A	0.065180247
MAX:ZNF143	0.065381894	0.191912517	A	0.065381894
IKZF1:SPI1	-0.066851437	0.182093244	A	0.066851437
RELA:USF2	0.067397029	0.178543802	A	0.067397029
NFATC1:USF2	-0.067639425	0.176983412	A	0.067639425
BATF:USF1	-0.068262049	0.173021783	A	0.068262049
IKZF1:BHLHE40	-0.068663398	0.170503321	A	0.068663398
BCL3:EBF1	0.068767722	0.169853189	A	0.068767722
MAX:NFYB	-0.069333284	0.166360893	A	0.069333284
PAX5:NFATC1	0.069516158	0.165243248	A	0.069516158
NFYB:NFIC	0.069913719	0.16283297	A	0.069913719
BHLHE40:ZNF143	-0.070150636	0.161409242	A	0.070150636
RELA:ZNF143	0.070933292	0.156772489	A	0.070933292
EBF1:BHLHE40	-0.071807349	0.151713965	A	0.071807349
TCF12:PAX5	-0.072283966	0.149008272	A	0.072283966
BCL3:BATF	0.072639547	0.147013704	A	0.072639547
SPI1:USF1	-0.07335708	0.143050846	A	0.07335708
IKZF1:RELA	-0.073517275	0.142177362	A	0.073517275
MEF2A:NFIC	0.074048824	0.139308236	A	0.074048824
RUNX3:NFATC1	0.074543957	0.136675816	A	0.074543957
BHLHE40:ZEB1	-0.075108514	0.133721141	A	0.075108514
MAX:SIN3A	-0.075444077	0.131988406	A	0.075444077
EGR1:SPI1	-0.075534642	0.131523738	A	0.075534642
MEF2A:TCF3	-0.075882026	0.129753115	A	0.075882026
MEF2A:MAX	0.076630404	0.126001302	A	0.076630404
BHLHE40:RELA	0.077156067	0.123416743	A	0.077156067
IKZF1:EBF1	0.077960936	0.119539539	A	0.077960936
NFIC:USF1	0.078467466	0.117148654	A	0.078467466
MXI1:USF2	-0.079115269	0.114145639	A	0.079115269
MAX:RELA	0.079746679	0.111277044	A	0.079746679
MEF2A:SIN3A	0.079920125	0.11049906	A	0.079920125
RUNX3:ZNF143	-0.080768448	0.106755421	A	0.080768448
EBF1:RUNX3	-0.081432368	0.103895992	A	0.081432368
RELA:RUNX3	0.081678409	0.102851848	A	0.081678409
TCF12:RUNX3	-0.083946295	0.093614424	A	0.083946295
MEF2A:MXI1	-0.086700003	0.083302792	A	0.086700003
SPI1:ZNF143	0.087646333	0.079978381	A	0.087646333
RELA:TCF12	0.087939423	0.078970833	A	0.087939423
USF2:USF1	0.089210942	0.074718243	A	0.089210942
IKZF1:ELF1	-0.089996781	0.072184503	A	0.089996781
BCL3:USF2	-0.090434876	0.070802686	A	0.090434876
ELF1:PAX5	-0.093828766	0.060814664	A	0.093828766
EBF1:USF2	-0.094552615	0.058842398	A	0.094552615
EBF1:SIN3A	0.094805655	0.058165545	A	0.094805655
MXI1:PAX5	0.096434868	0.0539603	A	0.096434868
ELF1:REST	0.098178355	0.049743303	A	0.098178355
IKZF1:PAX5	0.098275627	0.049516376	A	0.098275627
MEF2A:EGR1	0.104709817	0.036313436	A	0.104709817
MXI1:NFIC	0.108440989	0.030125934	A	0.108440989
RUNX3:PAX5	0.11637472	0.019905413	A	0.11637472
BCL3:YY1	0.117920619	0.018311	A	0.117920619
EBF1:RELA	-0.123987678	0.013080297	A	0.123987678
RELA:NFIC	0.129042644	0.009777894	A	0.129042644
NFATC1:USF1	0.161186033	0.001217242	A	0.161186033
TCF12:USF2	0.162216075	0.001130902	A	0.162216075
ZEB1:ZNF143	0.165040585	0.00092225	A	0.165040585
BATF:YY1	0.165536167	0.000889533	A	0.165536167
IKZF1:EGR1	0.168360203	0.000722672	A	0.168360203
MXI1:NFATC1	0.16863949	0.000707851	A	0.16863949
RELA:EBF1	-0.123987678	0.013080297	B	
USF2:EBF1	-0.094552615	0.058842398	B	
PAX5:ELF1	-0.093828766	0.060814664	B	
USF2:BCL3	-0.090434876	0.070802686	B	
ELF1:IKZF1	-0.089996781	0.072184503	B	
MXI1:MEF2A	-0.086700003	0.083302792	B	
RUNX3:TCF12	-0.083946295	0.093614424	B	
RUNX3:EBF1	-0.081432368	0.103895992	B	
ZNF143:RUNX3	-0.080768448	0.106755421	B	
USF2:MXI1	-0.079115269	0.114145639	B	
TCF3:MEF2A	-0.075882026	0.129753115	B	
SPI1:EGR1	-0.075534642	0.131523738	B	
SIN3A:MAX	-0.075444077	0.131988406	B	
ZEB1:BHLHE40	-0.075108514	0.133721141	B	
RELA:IKZF1	-0.073517275	0.142177362	B	
USF1:SPI1	-0.07335708	0.143050846	B	
PAX5:TCF12	-0.072283966	0.149008272	B	
BHLHE40:EBF1	-0.071807349	0.151713965	B	
ZNF143:BHLHE40	-0.070150636	0.161409242	B	
NFYB:MAX	-0.069333284	0.166360893	B	
BHLHE40:IKZF1	-0.068663398	0.170503321	B	
USF1:BATF	-0.068262049	0.173021783	B	
USF2:NFATC1	-0.067639425	0.176983412	B	
SPI1:IKZF1	-0.066851437	0.182093244	B	
RUNX3:IKZF1	-0.065180247	0.193289596	B	
NFIC:SIN3A	-0.064501784	0.197976016	B	
MAX:IKZF1	-0.063837131	0.202646808	B	
YY1:IKZF1	-0.063835226	0.202660309	B	
USF1:BCL3	-0.063442826	0.205455278	B	
NFIC:BCL3	-0.063203926	0.207170517	B	
ELF1:BCL3	-0.062926212	0.209177406	B	
PAX5:BHLHE40	-0.06143569	0.220188549	B	
TCF3:USF2	-0.060139772	0.230093591	B	
YY1:MXI1	-0.059780913	0.232891416	B	
RELA:REST	-0.059533639	0.234833203	B	
TCF12:EGR1	-0.056174013	0.262351911	B	
SPI1:RELA	-0.055250988	0.270286146	B	
ZNF143:MEF2A	-0.055239998	0.270381591	B	
ELF1:MEF2A	-0.055172348	0.270969619	B	
REST:BCL3	-0.055014154	0.272348092	B	
USF1:MAX	-0.054579429	0.276160801	B	
USF1:ELF1	-0.05408595	0.280532546	B	
EGR1:BCL3	-0.054019754	0.281122527	B	
SIN3A:BHLHE40	-0.053507927	0.285712531	B	
USF1:SIN3A	-0.053328684	0.28733182	B	
YY1:NFYB	-0.053327924	0.287338704	B	
USF1:IKZF1	-0.05248729	0.295015384	B	
YY1:RUNX3	-0.051642886	0.302863082	B	
NFATC1:EBF1	-0.050028105	0.318252248	B	
USF2:ELF1	-0.049733892	0.321110173	B	
TCF12:IKZF1	-0.049429157	0.324087852	B	
TCF3:NFIC	-0.04911323	0.327193756	B	
ZEB1:IKZF1	-0.048955652	0.328750082	B	
RELA:EGR1	-0.048405912	0.334217005	B	
SPI1:ELF1	-0.047823667	0.340070472	B	
BCL3:IKZF1	-0.046323034	0.355456409	B	
ZNF143:USF2	-0.04604574	0.358346662	B	
SIN3A:MXI1	-0.045894807	0.35992602	B	
EGR1:MXI1	-0.045854673	0.360346715	B	
NFATC1:ELF1	-0.045530181	0.363759381	B	
SIN3A:BATF	-0.044670277	0.372899939	B	
BHLHE40:BATF	-0.04459199	0.373739087	B	
EGR1:MAX	-0.04391929	0.380997591	B	
NFIC:BATF	-0.043516297	0.385386947	B	
REST:IKZF1	-0.043121347	0.389718423	B	
TCF3:MXI1	-0.043012771	0.390914345	B	
NFYB:SIN3A	-0.042854303	0.392663785	B	
SPI1:MXI1	-0.042689034	0.394493338	B	
PAX5:REST	-0.042416663	0.397519704	B	
REST:EGR1	-0.041455635	0.408308761	B	
SPI1:PAX5	-0.041148478	0.411793393	B	
USF2:BHLHE40	-0.041123306	0.412079736	B	
SIN3A:RELA	-0.040246167	0.42213104	B	
ZNF143:TCF12	-0.040120224	0.423585901	B	
NFYB:IKZF1	-0.039494602	0.430856141	B	
USF1:BHLHE40	-0.039305715	0.433065263	B	
ZNF143:BATF	-0.039283786	0.433322152	B	
MXI1:BCL3	-0.038866086	0.438232105	B	
ZEB1:NFYB	-0.038281401	0.445158179	B	
NFIC:MAX	-0.038013301	0.448354708	B	
NFYB:REST	-0.037487384	0.454662741	B	
YY1:PAX5	-0.037479308	0.454760001	B	
MAX:ELF1	-0.036310256	0.468960582	B	
MAX:EBF1	-0.035746332	0.475897028	B	
SPI1:BATF	-0.034458183	0.491949757	B	
TCF12:BHLHE40	-0.03427336	0.494276511	B	
NFIC:IKZF1	-0.033774407	0.500587023	B	
ZEB1:REST	-0.033761736	0.500747841	B	
YY1:NFATC1	-0.033343294	0.506073617	B	
PAX5:NFYB	-0.033211905	0.507751994	B	
NFIC:EBF1	-0.032927766	0.511391552	B	
TCF3:EGR1	-0.03259062	0.515727607	B	
SPI1:REST	-0.032271343	0.519851293	B	
NFATC1:MEF2A	-0.032191777	0.52088158	B	
RUNX3:MEF2A	-0.031688932	0.52741696	B	
MXI1:MAX	-0.031548064	0.52925524	B	
REST:MEF2A	-0.031436	0.53071995	B	
YY1:BHLHE40	-0.030957137	0.537001845	B	
ZNF143:EGR1	-0.030559908	0.542240943	B	
RELA:MXI1	-0.030444873	0.543762872	B	
RUNX3:REST	-0.030400202	0.544354447	B	
ZNF143:PAX5	-0.030356078	0.544939096	B	
TCF3:BHLHE40	-0.029958239	0.550224465	B	
ZNF143:IKZF1	-0.028957518	0.563629415	B	
YY1:SPI1	-0.028235988	0.573390796	B	
ZEB1:MXI1	-0.028066795	0.575691268	B	
USF1:REST	-0.026858216	0.592248935	B	
USF2:RUNX3	-0.025554421	0.610351217	B	
YY1:ELF1	-0.025472022	0.611503442	B	
TCF3:SIN3A	-0.02374199	0.635913183	B	
EGR1:BATF	-0.023511039	0.639202572	B	
ZNF143:EBF1	-0.022472828	0.654076283	B	
BATF:IKZF1	-0.021958671	0.661493697	B	
PAX5:BCL3	-0.021894957	0.662415195	B	
BHLHE40:MAX	-0.021792865	0.663892796	B	
MXI1:EBF1	-0.021541919	0.667530344	B	
NFYB:RUNX3	-0.021510268	0.6679897	B	
ELF1:BATF	-0.021382832	0.669840414	B	
ZNF143:NFATC1	-0.02094889	0.676157373	B	
NFATC1:RELA	-0.020818002	0.678067208	B	
RUNX3:MXI1	-0.020802626	0.678291714	B	
RELA:BCL3	-0.020165011	0.687625902	B	
USF2:SPI1	-0.019918495	0.691247559	B	
REST:BATF	-0.019837615	0.692437332	B	
ZEB1:RUNX3	-0.018966675	0.705296595	B	
USF1:ZEB1	-0.0184638	0.712760095	B	
USF1:MEF2A	-0.018247996	0.715971459	B	
RUNX3:BHLHE40	-0.017704373	0.724083185	B	
SPI1:MEF2A	-0.017370851	0.729075253	B	
MXI1:BHLHE40	-0.016710482	0.738993133	B	
MXI1:ELF1	-0.016480246	0.742461271	B	
EGR1:BHLHE40	-0.016427644	0.743254365	B	
SPI1:BCL3	-0.014919063	0.766112265	B	
ZNF143:BCL3	-0.014711752	0.76926985	B	
NFIC:ELF1	-0.01432516	0.775168228	B	
SIN3A:REST	-0.014285691	0.775771162	B	
ZEB1:SIN3A	-0.013380047	0.789642072	B	
YY1:EBF1	-0.01313559	0.793397816	B	
ZEB1:NFATC1	-0.012687627	0.800292477	B	
NFATC1:SIN3A	-0.012089548	0.809521722	B	
TCF3:RUNX3	-0.012088413	0.809539263	B	
BHLHE40:BCL3	-0.011689869	0.815704192	B	
PAX5:EGR1	-0.011084283	0.825093456	B	
RUNX3:MAX	-0.010542749	0.833510835	B	
ZNF143:NFYB	-0.01002816	0.841527067	B	
TCF12:ELF1	-0.010005263	0.841884134	B	
NFATC1:IKZF1	-0.009699136	0.846661216	B	
ZEB1:TCF12	-0.009397621	0.851371831	B	
NFATC1:BCL3	-0.009143149	0.855351595	B	
SPI1:SIN3A	-0.009111849	0.855841366	B	
REST:MXI1	-0.008981308	0.8578846	B	
RELA:ELF1	-0.008720397	0.861971219	B	
